lat	lng
47.56139	-122.251017
47.561642	-122.252137
47.56116	-122.251925
47.56096	-122.252391
47.560961	-122.252055
47.56127	-122.251712
47.561806	-122.252405
47.560893	-122.252409
47.56123	-122.25225
47.561322	-122.252108
47.561201	-122.251925
47.561426	-122.251581
47.56171	-122.251717
47.560972	-122.252214
47.561714	-122.252149
47.561373	-122.251851
47.561541	-122.252129
47.561062	-122.2515
47.561337	-122.251684
47.561772	-122.251711
47.5609	-122.252287
47.561875	-122.252364
47.561747	-122.251498
47.5615	-122.2517
47.561499	-122.252117
47.561701	-122.251526
47.561882	-122.251612
47.56164	-122.252062
47.561884	-122.251995
47.5609	-122.251528
47.560939	-122.251389
47.561773	-122.251186
47.561865	-122.251481
47.561851	-122.251876
47.561438	-122.251533
47.561181	-122.251784
47.561275	-122.251862
47.561356	-122.251722
47.561219	-122.25178
47.561558	-122.251541
47.561698	-122.251795
47.561588	-122.251389
47.561826	-122.251546
47.561802	-122.251525
47.561125	-122.25134
47.561735	-122.251841
47.561229	-122.251551
47.561259	-122.251118
47.561359	-122.251012
47.561704	-122.25107
47.561447	-122.251254
47.561853	-122.251117
47.561857	-122.251048
47.561016	-122.251812
47.561601	-122.251015
47.561157	-122.251581
47.561298	-122.250983
47.561606	-122.250957
47.561269	-122.251306
47.561137	-122.251659
47.561307	-122.251207
47.561587	-122.25183
47.561119	-122.250982
47.56144	-122.251523
47.561	-122.250976
47.561155	-122.251593
47.561564	-122.251146
47.560944	-122.251081
47.560784	-122.251604
47.561326	-122.251493
47.56152	-122.251098
47.560719	-122.251688
47.560877	-122.25119
47.561121	-122.251359
47.56123	-122.251745
47.561535	-122.251794
47.561606	-122.251484
47.560737	-122.251574
47.561326	-122.251717
47.560761	-122.250952
47.561018	-122.251218
47.561591	-122.250681
47.561104	-122.251153
47.560916	-122.250747
47.56148	-122.250987
47.56139	-122.250616
47.560652	-122.251062
47.560617	-122.25091
47.560816	-122.251122
47.561478	-122.250888
47.561021	-122.250956
47.560925	-122.251025
47.561674	-122.250828
47.561123	-122.250782
47.560954	-122.250726
47.561039	-122.251513
47.560955	-122.2509
47.560983	-122.251434
47.561129	-122.251534
47.561323	-122.250715
47.561184	-122.250897
47.560829	-122.251369
47.560452	-122.250622
47.560789	-122.250308
47.561139	-122.250218
47.560745	-122.250705
47.561068	-122.250305
47.560713	-122.25087
47.559927	-122.25043
47.559575	-122.249899
47.559858	-122.249527
47.559802	-122.249803
47.560103	-122.2504
47.559509	-122.249945
47.560172	-122.250191
47.560188	-122.250304
47.559292	-122.249508
47.559636	-122.249539
47.5596	-122.250378
47.559425	-122.24991
47.559314	-122.249907
47.55993	-122.249622
47.559049	-122.249556
47.559072	-122.249265
47.558945	-122.250105
47.559581	-122.249538
47.559572	-122.249934
47.559398	-122.249382
47.559055	-122.249828
47.559018	-122.249516
47.559329	-122.249627
47.559355	-122.249001
47.559436	-122.249583
47.559292	-122.249675
47.558784	-122.249472
47.558889	-122.249788
47.558685	-122.249922
47.559212	-122.249938
47.558781	-122.249872
47.559423	-122.249803
47.558875	-122.249894
47.559152	-122.249786
47.559255	-122.249284
47.55945	-122.249574
47.55941	-122.249577
47.559243	-122.249446
47.558846	-122.24926
47.559326	-122.249532
47.558861	-122.250001
47.55951	-122.249953
47.55951	-122.249892
47.559649	-122.249347
47.55871	-122.249559
47.561449	-122.253316
47.561008	-122.253403
47.562013	-122.252943
47.561705	-122.253369
47.561908	-122.253073
47.56097	-122.253363
47.560768	-122.253308
47.560864	-122.252784
47.560798	-122.253419
47.561643	-122.252633
47.561659	-122.252513
47.561211	-122.252997
47.560985	-122.252932
47.5611	-122.253296
47.560956	-122.252833
47.560766	-122.252825
47.560692	-122.252316
47.560814	-122.252582
47.561054	-122.252878
47.561035	-122.252628
47.560854	-122.252701
47.561125	-122.252902
47.56057	-122.252301
47.561294	-122.253334
47.560531	-122.252648
47.560835	-122.253091
47.560592	-122.252999
47.56148	-122.252757
47.560709	-122.253091
47.561296	-122.252926
47.56121	-122.253158
47.561625	-122.253008
47.561202	-122.253452
47.561167	-122.25309
47.561373	-122.252923
47.561828	-122.253172
47.560852	-122.253853
47.560968	-122.253145
47.561059	-122.253674
47.561804	-122.253467
47.561164	-122.253561
47.561527	-122.253398
47.56115	-122.253497
47.560977	-122.2534
47.561441	-122.253279
47.561668	-122.253432
47.560886	-122.253535
47.561389	-122.253671
47.561362	-122.253291
47.561728	-122.253066
47.561816	-122.254041
47.561762	-122.253118
47.561839	-122.253192
47.560942	-122.253824
47.56153	-122.253228
47.561486	-122.253231
47.560987	-122.253621
47.561865	-122.253373
47.561665	-122.253719
47.561018	-122.253493
47.561429	-122.253844
47.561109	-122.253847
47.560889	-122.254006
47.56169	-122.253166
47.560919	-122.253521
47.561811	-122.253847
47.560942	-122.254069
47.561713	-122.253385
47.561059	-122.254042
47.561737	-122.254237
47.561191	-122.253703
47.561596	-122.253966
47.561689	-122.25426
47.56082	-122.254025
47.561366	-122.254069
47.56158	-122.254457
47.561006	-122.254503
47.561611	-122.254081
47.561425	-122.254981
47.561507	-122.25465
47.560898	-122.254131
47.561282	-122.254394
47.561556	-122.254085
47.560938	-122.254257
47.560907	-122.254982
47.561583	-122.254618
47.560646	-122.254176
47.56137	-122.254238
47.561563	-122.254643
47.560954	-122.254473
47.560676	-122.254973
47.56065	-122.254113
47.561171	-122.254324
47.56107	-122.254395
47.560935	-122.253591
47.560954	-122.253664
47.561467	-122.253861
47.561371	-122.253651
47.561509	-122.253732
47.560714	-122.253618
47.561141	-122.254384
47.561006	-122.254115
47.561037	-122.253749
47.560626	-122.254342
47.561149	-122.254364
47.560926	-122.253694
47.561001	-122.254519
47.561247	-122.254188
47.560676	-122.253792
47.561211	-122.253986
47.560513	-122.254254
47.560976	-122.253707
47.561242	-122.253765
47.560984	-122.254349
47.561046	-122.253577
47.560678	-122.25371
47.560559	-122.253798
47.561248	-122.254269
47.560735	-122.253657
47.561058	-122.253515
47.560482	-122.253757
47.560431	-122.253644
47.560415	-122.253802
47.561324	-122.254067
47.560551	-122.254231
47.560348	-122.254015
47.560433	-122.253637
47.560418	-122.253861
47.560467	-122.25371
47.56071	-122.254245
47.56062	-122.253911
47.561061	-122.253795
47.560841	-122.253715
47.560631	-122.25372
47.560913	-122.254645
47.560801	-122.2541
47.560594	-122.254433
47.560949	-122.25375
47.560487	-122.253832
47.561028	-122.254092
47.560946	-122.253556
47.560589	-122.253726
47.560729	-122.254224
47.560373	-122.253562
47.56115	-122.254434
47.560326	-122.254186
47.560659	-122.253593
47.560961	-122.253977
47.561186	-122.253609
47.560699	-122.254365
47.560887	-122.254386
47.561195	-122.254251
47.560597	-122.254132
47.560617	-122.25401
47.561041	-122.254277
47.560986	-122.253714
47.561128	-122.253653
47.560939	-122.254179
47.560881	-122.253819
47.560968	-122.253757
47.561172	-122.254012
47.561251	-122.254188
47.561146	-122.254362
47.561094	-122.253644
47.560605	-122.254357
47.56074	-122.254256
47.560238	-122.254059
47.560456	-122.254215
47.560901	-122.254486
47.560982	-122.254315
47.560198	-122.254094
47.560409	-122.253635
47.560351	-122.253957
47.561173	-122.253923
47.560924	-122.254342
47.560901	-122.254171
47.561108	-122.254274
47.560866	-122.253785
47.561095	-122.254284
47.560281	-122.254773
47.560487	-122.254256
47.560159	-122.254147
47.560645	-122.25367
47.560678	-122.25455
47.560713	-122.253753
47.560827	-122.254205
47.560959	-122.254325
47.560401	-122.253578
47.560816	-122.25385
47.560188	-122.253635
47.560438	-122.253547
47.560741	-122.254235
47.560523	-122.253666
47.560436	-122.253482
47.560299	-122.253729
47.560687	-122.254031
47.560947	-122.254196
47.560927	-122.25329
47.560902	-122.253773
47.560089	-122.253528
47.560811	-122.253568
47.56042	-122.253303
47.560458	-122.253862
47.560074	-122.253816
47.560993	-122.254006
47.560187	-122.254321
47.560797	-122.254084
47.560167	-122.254099
47.561031	-122.253274
47.560913	-122.253121
47.560575	-122.253262
47.559796	-122.253269
47.560029	-122.253577
47.559735	-122.25336
47.560467	-122.252941
47.559965	-122.252914
47.560428	-122.253344
47.560035	-122.252894
47.560072	-122.253638
47.560867	-122.253136
47.560773	-122.253091
47.560008	-122.253535
47.560699	-122.253571
47.56007	-122.253398
47.56101	-122.253668
47.560661	-122.253669
47.560428	-122.252943
47.560626	-122.253007
47.560856	-122.253341
47.560777	-122.252867
47.561027	-122.253305
47.560769	-122.253249
47.561102	-122.252787
47.560977	-122.252935
47.561301	-122.253558
47.560818	-122.252678
47.561368	-122.253527
47.560568	-122.253181
47.561155	-122.252983
47.560265	-122.252985
47.560794	-122.252551
47.560262	-122.252464
47.561057	-122.252741
47.561112	-122.25275
47.560633	-122.252927
47.561262	-122.252232
47.560615	-122.252805
47.561411	-122.252721
47.560622	-122.252351
47.561041	-122.251757
47.555001	-122.25017
47.55485	-122.250069
47.555448	-122.250601
47.555578	-122.250272
47.555039	-122.250208
47.555512	-122.249891
47.55597	-122.250155
47.555841	-122.250117
47.555638	-122.250919
47.554867	-122.250179
47.554857	-122.250723
47.555296	-122.250401
47.554786	-122.250849
47.554834	-122.250568
47.555378	-122.250111
47.554952	-122.250888
47.554916	-122.250791
47.555594	-122.250235
47.555223	-122.250136
47.555421	-122.249843
47.555505	-122.250366
47.555687	-122.250082
47.555249	-122.250515
47.554824	-122.250449
47.55544	-122.250088
47.555242	-122.250666
47.554983	-122.249854
47.554879	-122.250464
47.554945	-122.250457
47.555792	-122.250815
47.555423	-122.25014
47.555423	-122.250762
47.554918	-122.25068
47.555464	-122.250264
47.555536	-122.25023
47.555096	-122.250303
47.55513	-122.250226
47.555319	-122.250107
47.555149	-122.250372
47.555104	-122.250619
47.555788	-122.250068
47.555675	-122.250193
47.555655	-122.25057
47.55518	-122.249852
47.555813	-122.250198
47.555336	-122.2508
47.555861	-122.250381
47.555433	-122.250757
47.555115	-122.250123
47.555621	-122.250127
47.555487	-122.250723
47.555497	-122.250597
47.555871	-122.250598
47.55578	-122.25071
47.55526	-122.250593
47.555219	-122.2502
47.554984	-122.249864
47.555186	-122.249994
47.555848	-122.250182
47.554998	-122.250607
47.555002	-122.250251
47.555289	-122.250085
47.554992	-122.249979
47.555809	-122.250061
47.555086	-122.250592
47.555475	-122.250585
47.555126	-122.250557
47.555488	-122.250442
47.555502	-122.250471
47.555055	-122.250859
47.555393	-122.250257
47.555228	-122.250949
47.555063	-122.250043
47.555031	-122.250444
47.555139	-122.250557
47.555504	-122.250567
47.555299	-122.250045
47.555118	-122.250798
47.555208	-122.250228
47.55501	-122.25071
47.555289	-122.250636
47.555325	-122.250731
47.555158	-122.250373
47.555618	-122.250218
47.555038	-122.250484
47.555845	-122.250113
47.555113	-122.250984
47.556008	-122.250549
47.555123	-122.25084
47.555891	-122.250374
47.555148	-122.250124
47.555741	-122.250877
47.555308	-122.251091
47.555238	-122.250789
47.555916	-122.250697
47.5554	-122.250238
47.555711	-122.250927
47.555799	-122.250286
47.555904	-122.250604
47.555465	-122.251124
47.555834	-122.250408
47.555433	-122.250564
47.555635	-122.250398
47.555377	-122.250819
47.555985	-122.250947
47.556114	-122.250862
47.555696	-122.250766
47.555709	-122.250393
47.555303	-122.2505
47.555441	-122.250942
47.555761	-122.250792
47.555998	-122.250636
47.556076	-122.25012
47.55529	-122.250332
47.555244	-122.250559
47.555891	-122.250171
47.555446	-122.250756
47.556073	-122.250218
47.555448	-122.250615
47.555602	-122.250693
47.55515	-122.25078
47.555699	-122.250235
47.555437	-122.250443
47.555289	-122.250013
47.555521	-122.250324
47.555548	-122.250554
47.556137	-122.249983
47.555583	-122.250574
47.555251	-122.25005
47.555292	-122.250505
47.555986	-122.250038
47.55517	-122.250362
47.55569	-122.250388
47.555639	-122.25064
47.555615	-122.250493
47.555639	-122.250912
47.555303	-122.250765
47.555393	-122.250254
47.55607	-122.250275
47.556135	-122.250567
47.555756	-122.250961
47.555524	-122.250341
47.555867	-122.250736
47.555783	-122.250667
47.555512	-122.250985
47.555984	-122.251072
47.555275	-122.250545
47.555527	-122.250323
47.555984	-122.250833
47.555932	-122.25031
47.556007	-122.250166
47.555281	-122.250534
47.555455	-122.25107
47.555911	-122.250638
47.556035	-122.251117
47.555695	-122.250611
47.555222	-122.250454
47.555928	-122.250539
47.555128	-122.250658
47.555986	-122.250463
47.555741	-122.250715
47.555207	-122.250816
47.555837	-122.250608
47.555613	-122.250907
47.555075	-122.250226
47.555477	-122.25046
47.555506	-122.250903
47.555023	-122.250524
47.55573	-122.250409
47.555715	-122.251
47.555751	-122.250426
47.55535	-122.250258
47.55556	-122.250591
47.555403	-122.250402
47.555856	-122.250763
47.555323	-122.251006
47.555979	-122.250155
47.555155	-122.250454
47.556054	-122.250368
47.556074	-122.250829
47.555343	-122.250034
47.555654	-122.250372
47.556155	-122.250798
47.556182	-122.25052
47.555314	-122.250899
47.555872	-122.250206
47.556091	-122.250214
47.555436	-122.250118
47.555769	-122.250038
47.55602	-122.250179
47.555334	-122.250857
47.555492	-122.250079
47.555543	-122.250872
47.555749	-122.250136
47.555769	-122.250036
47.556167	-122.250258
47.555532	-122.251205
47.556055	-122.251086
47.555692	-122.251163
47.555867	-122.251393
47.555286	-122.2509
47.555442	-122.250949
47.555682	-122.251435
47.555862	-122.250842
47.556019	-122.251293
47.556131	-122.251043
47.555568	-122.2509
47.555727	-122.250452
47.555214	-122.250916
47.555879	-122.251125
47.555344	-122.250612
47.555332	-122.250643
47.556289	-122.251096
47.555693	-122.250311
47.555331	-122.251004
47.556297	-122.25065
47.55582	-122.250591
47.555683	-122.250314
47.556117	-122.250583
47.555273	-122.250745
47.555824	-122.250334
47.555993	-122.251311
47.555595	-122.250851
47.556251	-122.251336
47.556057	-122.250645
47.556257	-122.251295
47.55571	-122.251385
47.556529	-122.250208
47.555754	-122.250997
47.556108	-122.25053
47.555992	-122.250376
47.555904	-122.251151
47.555929	-122.250262
47.555774	-122.250612
47.556388	-122.250917
47.55652	-122.251126
47.556252	-122.251254
47.555945	-122.251111
47.556496	-122.250422
47.556151	-122.251298
47.556617	-122.250832
47.556026	-122.251131
47.556146	-122.250808
47.556474	-122.250388
47.556289	-122.251054
47.556284	-122.250995
47.55603	-122.250475
47.556597	-122.250498
47.556248	-122.251311
47.556435	-122.250867
47.555855	-122.250869
47.555932	-122.250683
47.556036	-122.250503
47.556163	-122.250528
47.556289	-122.250892
47.555853	-122.250578
47.555931	-122.250152
47.556666	-122.250655
47.556073	-122.251112
47.555846	-122.251162
47.556138	-122.25046
47.556412	-122.250842
47.556256	-122.250573
47.556448	-122.250937
47.556459	-122.250576
47.556188	-122.251048
47.556225	-122.250808
47.556027	-122.250697
47.555052	-122.250578
47.555147	-122.250993
47.555451	-122.250421
47.55842	-122.251188
47.555488	-122.250003
47.555664	-122.250298
47.558045	-122.250978
47.558234	-122.250542
47.558132	-122.250852
47.558017	-122.2509
47.557924	-122.250884
47.558813	-122.250673
47.557956	-122.250414
47.55866	-122.251737
47.558601	-122.251221
47.55827	-122.251976
47.557766	-122.251379
47.558511	-122.251472
47.558275	-122.251192
47.557906	-122.251253
47.558209	-122.251465
47.557853	-122.250894
47.558314	-122.251044
47.557801	-122.251336
47.557466	-122.250821
47.557534	-122.250913
47.557856	-122.250766
47.558103	-122.250915
47.558237	-122.250321
47.557574	-122.250421
47.558011	-122.250688
47.558104	-122.250539
47.558108	-122.251119
47.55765	-122.250477
47.557547	-122.251154
47.557412	-122.252255
47.557419	-122.25238
47.558015	-122.251812
47.557431	-122.251957
47.557872	-122.251769
47.557705	-122.251558
47.557301	-122.252037
47.557568	-122.252423
47.558015	-122.251989
47.557402	-122.252298
47.557605	-122.251758
47.557254	-122.25166
47.557134	-122.251802
47.557256	-122.25182
47.556909	-122.250934
47.556851	-122.250824
47.557373	-122.25135
47.556628	-122.250998
47.557495	-122.251149
47.55729	-122.251734
47.556771	-122.251514
47.557156	-122.25166
47.556324	-122.250868
47.556853	-122.251125
47.556533	-122.250939
47.556437	-122.251215
